waypoint1	waypoint2	distance_m	duration_s
Hwy 18 North California	Elkhorn Summit Oregon	1427434	264178
Refugio Rd California	Beasore Rd California	462586	95575
Mt Washington Auto Rd New Hampshire	Etna Summit West California	5430199	1034644
Trail Ridge Rd Colorado	Beartooth Pass North Montana	827261	160730
Mt Baldy California	Hwy 180 West California	496357	102416
Grand Mesa North Colorado	Hwy 39-Dawson's Saddle California	1492471	301574
Sherman Pass West California	Grand Mesa North Colorado	1434555	293508
Mineral King Rd California	Mission Ridge Washington	1714992	335110
Hwy 198 California	Mt Hood Oregon	1407397	269579
Hwy 14 Alt Route Wyoming	Townes Pass East California	1520039	286440
Hwy 39-Crystal Lake Rd California	Hwy 21-245-180-198 California	458085	94286
Sherman Pass West California	Mt Auscutney Vermont	5080609	953635
Balch Park Rd California	Rock Creek California	302369	96123
Shirley Meadows California	Hwy 156-Lee Canyon Nevada	445498	91795
Powder Mountain Utah	Refugio Rd California	1431966	271776
Left Hand Canyon Colorado	Mt Ashland Oregon	2075298	394179
Sonora Pass West California	Nate Harrison Grade California	734166	153185
Refugio Rd California	Little Cottonwood Canyon Utah	1329548	251776
Hwy 157 Mt Charleston Nevada	Trail Ridge Rd Colorado	1353456	266941
Pikes Peak Colorado	Mt Shasta California	2146298	408419
Left Hand Canyon Colorado	N4/Table Mt California	1851197	364356
East Portal Colorado	Mineral King Rd California	1562631	317013
Burke Mt Vermont	Palomar Mt California	5109595	950672
Hwy 153 Utah	Sandia Crest Hwy New Mexico	886457	175291
Mt Ashland Oregon	Mt Harrision Idaho	1021971	195150
Glacier Lodge Rd California	Mt Graham Arizona	1289184	233005
Trail Ridge Rd Colorado	Hwy 190 California	2016148	407241
Bear Creek Road California	Horseshoe Meadows Rd California	308411	67519
Hwy 18 North California	Whitney Portal California	307581	54756
Daylight Pass Rd California	Parks Creek East California	874883	167647
Mineral King Rd California	Empire Pass Utah	1406050	276229
Onion Valley Rd California	Mt Harrision Idaho	960837	175404
Emigrant Pass East California	Hwy 31 West Utah	749312	136591
Left Hand Canyon Colorado	Elkhorn Summit Oregon	1612836	304276
