waypoint1	waypoint2	distance_m	duration_s
Palomar Mt, CA	Beasore Rd, CA	736929	159371
Hwy 153, UT	Death Valley Rd East, CA	599532	120133
Palomar Mt, CA	Hwy 153, UT	949013	194725
Hwy 39-Crystal Lake Rd, CA	Whitaker Forest Road, Badger, California	493772	108090
N4/Table Mt, CA	Mt Hood, OR	995054	207179
Pikes Peak, CO	Hwy 190, CA	1734917	352522
South Lake, CA	Daylight Pass Rd, CA	254912	54303
Trail Ridge Rd, CO	Hurricane Ridge, WA	2349182	481425
Shirley Meadows, CA	Emigrant Pass East, CA	382707	76771
Sherman Pass West, CA	Glacier Lodge Rd, CA	221051	48941
Monitor Pass East, CA	Mosquito Ridge Rd East, CA	208076	51418
Hwy 168, CA	Nine Mile Rd, CA	4624312	875725
Dawson's Saddle, CA	Horseshoe Meadows Rd, CA	295119	58918
Rock Creek, CA	Grand Mesa North, CO	1568074	312265
Beasore Rd, CA	Mt Auscutney, VT	5070556	982768
Mission Ridge, WA	White Mountain, CA	1476772	288793
Big Cottonwood Canyon, UT	Grand Mesa North, CO	588326	120118
Slumgullion Pass West, CO	Death Valley Rd East, CA	1374166	289544
Etna Summit West, CA	Hurricane Ridge, WA	1053048	229398
Hwy 39-Crystal Lake Rd, CA	Mt Baldy, CA	59005	18044
Glacier Lodge Rd, CA	Mt Evans, CO	1569497	320407
Slumgullion Pass West, CO	Mt Harrision, ID	1016694	215428
Guanella Pass, CO	Whitaker Forest Road, Badger, California	1686462	379228
Balch Park Rd, CA	Mt Auscutney, VT	5217993	990715
Big Cottonwood Canyon, UT	Mt Spokane, WA	1270737	243980
Mt Harrision, ID	Death Valley Rd East, CA	814547	154341
Valley of the Falls Dr, Forest Falls, CA 92339	Bear Creek Road, CA	818734	174974
Hwy 180 West, CA	Breckenridge Rd East, CA	215649	43428
South Lake, CA	Emigrant Pass East, CA	343593	66508
Hwy 198, CA	Parks Creek East, CA	875011	172335
Beasore Rd, CA	Sandia Crest Hwy, NM	1679325	335554
Refugio Rd, CA	Daylight Pass Rd, CA	518630	105073
Palomar Mt, CA	Dantes View, CA	519092	107646
Hwy 330, CA	Cajon Junction, California 92371	57340	14424
Onion Valley Rd, CA	Empire Pass, UT	930058	184723
Palomar Mt, CA	Sonora Pass West, CA	744811	154967
Whiteface Mt, NY	Lake Sabrina, CA	4823506	906292
Hwy 198, CA	Portuguese Pass, CA	170762	44431
Left Hand Canyon, CO	Mt Washington Auto Rd, NH	3566903	672792
Tollhouse Rd, CA	Gibraltar Road, Santa Barbara, CA	484466	105537
Mt Washington Auto Rd, NH	Horseshoe Meadows Rd, CA	5209936	991535
Beasore Rd, CA	Grand Mesa North, CO	1454988	306877
Townes Pass East, CA	Hwy 18-Waterman Canyon, CA	300729	64071
Hwy 156-Lee Canyon, NV	Mt Rose, CA	662385	124641
Whiteface Mt, NY	Grand Mesa North, CO	3688544	714267
Pikes Peak, CO	Grand Mesa South, CO	410771	97210
Hwy 157-158, NV	Hwy 31 West, UT	721613	148315
Kolob Terrace Rd, UT	Elkhorn Summit, OR	1163149	225258
Wildrose, CA	Whitney Portal, CA	2527208	489598
Sandia Crest Hwy, NM	White Mountain, CA	1372355	272425
Portuguese Pass, CA	Beasore Rd, CA	312457	70700
