number, name, fiets_index_score, length, avg_grade, ele_gain, ele_desc, start_ele, end_ele, max_grade, rd_cond, traffic, lat, long, url, route_number, secondary_route_number
56, Wildrose California, 8.64, 14.6, 6.2, 4445, 0, 1371, 5917, 9.3 , 1, 5, 36.17544, -117.30403, "https://www.pjammcycling.com/56.-wildrose-rd--ca.html",8962723
57, Mt Auscutney Vermont, 8.62, 3.5, 11.0, 2250, 0, 517, 2795, 18.1, 4, 4, 43.43782, -72.40574, "https://www.pjammcycling.com/57.--mt.-ascutney--vt.html",229501
58, Gibraltar Road Santa Barbara California, 8.58, 9.8, 7.6, 4089, -331, 220, 3980, 15.0, 4, 5, 34.44309, -119.67446, "https://www.pjammcycling.com/57a-gibraltar-road.html",634846
59, Hwy 39-Crystal Lake Rd California, 8.52, 14.1, 5.4, 4425, -92, 1488, 5817, 15.0, 4, 3, 34.23916, -117.8513, "https://www.pjammcycling.com/58.--hwy-39-crystal-lake--ca.html",8964271
60, Mt Shasta California, 8.51, 14.2, 5.7, 4171, 0, 3625, 7829, 9.0 , 5, 4, 41.32735, -122.3223, "https://www.pjammcycling.com/59.-mt.-shasta--ca.html",620195
61, Independence Pass Colorado, 8.49, 15.8, 4.9, 3986, -8, 8118, 12102, 8.9 , 4, 3, 39.1818950,	-106.8036530, "https://www.pjammcycling.com/60.--independence-pass--hwy-82--co.html",620210
62, East Portal Colorado, 8.47, 3.3, 11.6, 1966, 0, 6557, 8542, 17.9, 3, 5, 38.541154,	-107.693230, "https://www.pjammcycling.com/61.--east-portal--co.html",8967293
63, Tollhouse Rd California, 8.45, 9.6, 6.8, 3595, -17, 1915, 5568, 19.6, 3, 3, 37.01812, -119.39948, "https://www.pjammcycling.com/62.--trail-ridge-rd--co.html",9887218
64, Trail Ridge Rd Colorado, 8.44, 17.9, 4.6, 4352, -152, 7907, 12113, 10.6, 5, 3, 40.39628, -105.56513, "https://www.pjammcycling.com/63a-etna-summit-west--ca.html",9702391
65, Etna Summit West California, 8.39, 6.9, 8.8, 2993, -9, 2982, 5982, 18.3, 3, 5, 41.34585, -123.04316, "https://www.pjammcycling.com/63.--beasore-rd--ca.html",7431352,  899186
66, Beasore Rd California, 8.33, 11.5, 6.1, 3765, -23, 3553, 7313, 9.8 , 4, 5, 37.32428, -119.5542, "https://www.pjammcycling.com/64.-portuguese-pass--ca.html",675114
67, Hwy 157 Mt Charleston Nevada, 8.32, 21.2, 4.8, 5031, -11, 2821, 7829, 9.1 , 5, 2, 36.32717, -115.31336, "https://www.pjammcycling.com/65.--sandia-crest-hwy--nm.html",935285
68, Left Hand Canyon Colorado, 8.32, 22.5, 4.2, 4919, -36, 5611, 10508, 13.9, 3, 4, 40.13348, -105.28529, "https://www.pjammcycling.com/66.--hwy-157--mt-charleston--nv.html",10022984
